类别,所属域,太阁原词,例句,我们侧名,值类型,语义,参数,备注,频率
域值,事件標誌,143,調查:(事件標誌::143)!=(1),Flag::flag_143,布尔,143,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,144,調查:(事件標誌::144)!=(1),Flag::flag_144,布尔,144,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,145,調查:(事件標誌::145)!=(1),Flag::flag_145,布尔,145,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,146,調查:(事件標誌::146)==(1),Flag::flag_146,布尔,146,—,🔴 需新加（引擎 Flag）,19
域值,事件標誌,147,調查:(事件標誌::147)!=(1),Flag::flag_147,布尔,147,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,148,調查:(事件標誌::148)==(1),Flag::flag_148,布尔,148,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,149,調查:(事件標誌::149)==(1),Flag::flag_149,布尔,149,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,150,調查:(事件標誌::150)!=(1),Flag::flag_150,布尔,150,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,151,更新:(事件標誌::151)(成立),Flag::flag_151,布尔,151,—,🔴 需新加（引擎 Flag）,1
域值,事件標誌,152,調查:(事件標誌::152)==(0),Flag::flag_152,布尔,152,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,16,更新:(事件標誌::16)(成立),Flag::flag_16,布尔,16,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,162,調查:(事件標誌::162)==(1),Flag::flag_162,布尔,162,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,163,更新:(事件標誌::163)(成立),Flag::flag_163,布尔,163,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,164,調查:(事件標誌::164)==(1),Flag::flag_164,布尔,164,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,165,更新:(事件標誌::165)(成立),Flag::flag_165,布尔,165,—,🔴 需新加（引擎 Flag）,15
域值,事件標誌,166,更新:(事件標誌::166)(成立),Flag::flag_166,布尔,166,—,🔴 需新加（引擎 Flag）,10
域值,事件標誌,167,更新:(事件標誌::167)(成立),Flag::flag_167,布尔,167,—,🔴 需新加（引擎 Flag）,27
域值,事件標誌,168,調查:(事件標誌::168)==(1),Flag::flag_168,布尔,168,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,169,更新:(事件標誌::169)(成立),Flag::flag_169,布尔,169,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,17,調查:(事件標誌::17)==(1),Flag::flag_17,布尔,17,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,170,調查:(事件標誌::170)==(0),Flag::flag_170,布尔,170,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,171,調查:(事件標誌::171)==(1),Flag::flag_171,布尔,171,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,172,調查:(事件標誌::172)==(1),Flag::flag_172,布尔,172,—,🔴 需新加（引擎 Flag）,9
域值,事件標誌,173,調查:(事件標誌::173)==(0),Flag::flag_173,布尔,173,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,174,更新:(事件標誌::174)(成立),Flag::flag_174,布尔,174,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,175,調查:(事件標誌::175)==(0),Flag::flag_175,布尔,175,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,18,更新:(事件標誌::18)(成立),Flag::flag_18,布尔,18,—,🔴 需新加（引擎 Flag）,10
域值,事件標誌,182,更新:(事件標誌::182)(成立),Flag::flag_182,布尔,182,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,183,調查:(事件標誌::183)==(1),Flag::flag_183,布尔,183,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,184,調查:(事件標誌::184)==(0),Flag::flag_184,布尔,184,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,185,調查:(事件標誌::185)==(1),Flag::flag_185,布尔,185,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,186,調查:(事件標誌::186)==(未發生),Flag::flag_186,布尔,186,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,187,更新:(事件標誌::187)(成立),Flag::flag_187,布尔,187,—,🔴 需新加（引擎 Flag）,1
域值,事件標誌,188,調查:(事件標誌::188)==(0),Flag::flag_188,布尔,188,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,189,調查:(事件標誌::189)==(1),Flag::flag_189,布尔,189,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,19,更新:(事件標誌::19)(成立),Flag::flag_19,布尔,19,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,193,調查:(事件標誌::193)==(0),Flag::flag_193,布尔,193,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,194,調查:(事件標誌::194)==(0),Flag::flag_194,布尔,194,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,195,調查:(事件標誌::195)==(0),Flag::flag_195,布尔,195,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,196,調查:(事件標誌::196)==(1),Flag::flag_196,布尔,196,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,197,調查:(事件標誌::197)==(0),Flag::flag_197,布尔,197,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,20,更新:(事件標誌::20)(成立),Flag::flag_20,布尔,20,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,21,更新:(事件標誌::21)(成立),Flag::flag_21,布尔,21,—,🔴 需新加（引擎 Flag）,1
域值,事件標誌,22,更新:(事件標誌::22)(成立),Flag::flag_22,布尔,22,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,23,更新:(事件標誌::23)(不成立),Flag::flag_23,布尔,23,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,24,更新:(事件標誌::24)(成立),Flag::flag_24,布尔,24,—,🔴 需新加（引擎 Flag）,17
域值,事件標誌,25,調查:(事件標誌::25)==(1),Flag::flag_25,布尔,25,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,26,更新:(事件標誌::26)(成立),Flag::flag_26,布尔,26,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,27,調查:(事件標誌::27)==(1),Flag::flag_27,布尔,27,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,28,調查:(事件標誌::28)!=(1),Flag::flag_28,布尔,28,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,29,調查:(事件標誌::29)!=(1),Flag::flag_29,布尔,29,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,3,調查:(事件標誌::3)!=(1),Flag::flag_3,布尔,3,—,🔴 需新加（引擎 Flag）,7
域值,事件標誌,30,調查:(事件標誌::30)!=(1),Flag::flag_30,布尔,30,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,31,調查:(事件標誌::31)==(0),Flag::flag_31,布尔,31,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,32,調查:(事件標誌::32)==(1),Flag::flag_32,布尔,32,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,33,更新:(事件標誌::33)(成立),Flag::flag_33,布尔,33,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,34,調查:(事件標誌::34)==(1),Flag::flag_34,布尔,34,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,35,調查:(事件標誌::35)!=(1),Flag::flag_35,布尔,35,—,🔴 需新加（引擎 Flag）,23
域值,事件標誌,36,調查:(事件標誌::36)==(1),Flag::flag_36,布尔,36,—,🔴 需新加（引擎 Flag）,29
域值,事件標誌,37,更新:(事件標誌::37)(成立),Flag::flag_37,布尔,37,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,38,更新:(事件標誌::38)(成立),Flag::flag_38,布尔,38,—,🔴 需新加（引擎 Flag）,20
域值,事件標誌,39,調查:(事件標誌::39)==(1),Flag::flag_39,布尔,39,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,40,調查:(事件標誌::40)==(1),Flag::flag_40,布尔,40,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,41,調查:(事件標誌::41)==(1),Flag::flag_41,布尔,41,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,42,更新:(事件標誌::42)(成立),Flag::flag_42,布尔,42,—,🔴 需新加（引擎 Flag）,1
域值,事件標誌,43,更新:(事件標誌::43)(成立),Flag::flag_43,布尔,43,—,🔴 需新加（引擎 Flag）,1
域值,事件標誌,44,更新:(事件標誌::44)(不成立),Flag::flag_44,布尔,44,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,45,更新:(事件標誌::45)(不成立),Flag::flag_45,布尔,45,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,46,調查:(事件標誌::46)==(1),Flag::flag_46,布尔,46,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,47,調查:(事件標誌::47)==(1),Flag::flag_47,布尔,47,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,48,更新:(事件標誌::48)(不成立),Flag::flag_48,布尔,48,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,49,調查:(事件標誌::49)!=(1),Flag::flag_49,布尔,49,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,5,調查:(事件標誌::5)==(1),Flag::flag_5,布尔,5,—,🔴 需新加（引擎 Flag）,9
域值,事件標誌,50,調查:(事件標誌::50)==(0),Flag::flag_50,布尔,50,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,51,調查:(事件標誌::51)==(0),Flag::flag_51,布尔,51,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,52,調查:(事件標誌::52)==(0),Flag::flag_52,布尔,52,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,53,調查:(事件標誌::53)==(0),Flag::flag_53,布尔,53,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,54,調查:(事件標誌::54)==(0),Flag::flag_54,布尔,54,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,55,調查:(事件標誌::55)==(0),Flag::flag_55,布尔,55,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,56,更新:(事件標誌::56)(不成立),Flag::flag_56,布尔,56,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,57,調查:(事件標誌::57)==(1),Flag::flag_57,布尔,57,—,🔴 需新加（引擎 Flag）,13
域值,事件標誌,58,調查:(事件標誌::58)==(1),Flag::flag_58,布尔,58,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,59,調查:(事件標誌::59)==(1),Flag::flag_59,布尔,59,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,6,調查:(事件標誌::6)==(1),Flag::flag_6,布尔,6,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,60,調查:(事件標誌::60)!=(1),Flag::flag_60,布尔,60,—,🔴 需新加（引擎 Flag）,24
域值,事件標誌,61,調查:(事件標誌::61)==(1),Flag::flag_61,布尔,61,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,62,更新:(事件標誌::62)(成立),Flag::flag_62,布尔,62,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,63,更新:(事件標誌::63)(成立),Flag::flag_63,布尔,63,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,64,更新:(事件標誌::64)(成立),Flag::flag_64,布尔,64,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,65,調查:(事件標誌::65)==(1),Flag::flag_65,布尔,65,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,66,更新:(事件標誌::66)(成立),Flag::flag_66,布尔,66,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,67,更新:(事件標誌::67)(成立),Flag::flag_67,布尔,67,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,68,調查:(事件標誌::68)==(1),Flag::flag_68,布尔,68,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,69,調查:(事件標誌::69)==(1),Flag::flag_69,布尔,69,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,7,調查:(事件標誌::7)==(1),Flag::flag_7,布尔,7,—,🔴 需新加（引擎 Flag）,16
域值,事件標誌,70,調查:(事件標誌::70)==(1),Flag::flag_70,布尔,70,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,71,更新:(事件標誌::71)(成立),Flag::flag_71,布尔,71,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,72,更新:(事件標誌::72)(不成立),Flag::flag_72,布尔,72,—,🔴 需新加（引擎 Flag）,28
域值,事件標誌,73,更新:(事件標誌::73)(成立),Flag::flag_73,布尔,73,—,🔴 需新加（引擎 Flag）,28
域值,事件標誌,74,更新:(事件標誌::74)(成立),Flag::flag_74,布尔,74,—,🔴 需新加（引擎 Flag）,28
域值,事件標誌,75,更新:(事件標誌::75)(不成立),Flag::flag_75,布尔,75,—,🔴 需新加（引擎 Flag）,19
域值,事件標誌,76,更新:(事件標誌::76)(不成立),Flag::flag_76,布尔,76,—,🔴 需新加（引擎 Flag）,18
域值,事件標誌,77,更新:(事件標誌::77)(不成立),Flag::flag_77,布尔,77,—,🔴 需新加（引擎 Flag）,16
域值,事件標誌,78,更新:(事件標誌::78)(不成立),Flag::flag_78,布尔,78,—,🔴 需新加（引擎 Flag）,15
域值,事件標誌,79,更新:(事件標誌::79)(不成立),Flag::flag_79,布尔,79,—,🔴 需新加（引擎 Flag）,15
域值,事件標誌,8,調查:(事件標誌::8)==(1),Flag::flag_8,布尔,8,—,🔴 需新加（引擎 Flag）,16
域值,事件標誌,80,更新:(事件標誌::80)(不成立),Flag::flag_80,布尔,80,—,🔴 需新加（引擎 Flag）,14
域值,事件標誌,81,更新:(事件標誌::81)(不成立),Flag::flag_81,布尔,81,—,🔴 需新加（引擎 Flag）,3
域值,事件標誌,82,調查:(事件標誌::82)==(0),Flag::flag_82,布尔,82,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,83,更新:(事件標誌::83)(成立),Flag::flag_83,布尔,83,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,84,更新:(事件標誌::84)(成立),Flag::flag_84,布尔,84,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,85,更新:(事件標誌::85)(成立),Flag::flag_85,布尔,85,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,86,更新:(事件標誌::86)(不成立),Flag::flag_86,布尔,86,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,87,更新:(事件標誌::87)(不成立),Flag::flag_87,布尔,87,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,88,更新:(事件標誌::88)(成立),Flag::flag_88,布尔,88,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,89,更新:(事件標誌::89)(成立),Flag::flag_89,布尔,89,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,9,更新:(事件標誌::9)(成立),Flag::flag_9,布尔,9,—,🔴 需新加（引擎 Flag）,8
域值,事件標誌,90,調查:(事件標誌::90)==(1),Flag::flag_90,布尔,90,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,91,調查:(事件標誌::91)==(0),Flag::flag_91,布尔,91,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,92,調查:(事件標誌::92)==(1),Flag::flag_92,布尔,92,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,93,調查:(事件標誌::93)==(1),Flag::flag_93,布尔,93,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,94,調查:(事件標誌::94)==(1),Flag::flag_94,布尔,94,—,🔴 需新加（引擎 Flag）,2
域值,事件標誌,95,調查:(事件標誌::95)!=(1),Flag::flag_95,布尔,95,—,🔴 需新加（引擎 Flag）,159
域值,事件標誌,96,調查:(事件標誌::96)==(1),Flag::flag_96,布尔,96,—,🔴 需新加（引擎 Flag）,61
域值,事件標誌,97,調查:(事件標誌::97)==(1),Flag::flag_97,布尔,97,—,🔴 需新加（引擎 Flag）,42
域值,事件標誌,98,調查:(事件標誌::98)==(1),Flag::flag_98,布尔,98,—,🔴 需新加（引擎 Flag）,6
域值,事件標誌,99,調查:(事件標誌::99)==(0),Flag::flag_99,布尔,99,—,🔴 需新加（引擎 Flag）,14
域值,交易品,交易品Ａ,調查:(交易品::交易品Ａ)==(交易品::醬油),Ctx::trade_A,对象:物品,交易品Ａ,—,✅ 引擎,4
域值,交易品,交易品Ｅ,"容器選擇:(交易品Ｅ,先頭)",Ctx::trade_E,对象:物品,交易品Ｅ,—,✅ 引擎,6
域值,人物,主人公,調查:(人物::主人公)!=(人物::前田利家),Hero::MainHero,对象:人物,主人公,—,✅ 引擎,10428
域值,人物,人物Ａ,場合別:(人物::人物Ａ){//size=2180(884),Ctx::hero_A,对象:人物,人物Ａ,—,✅ 引擎,1263
域值,人物,人物Ｂ,調查:(人物::人物Ａ)==(人物::人物Ｂ),Ctx::hero_B,对象:人物,人物Ｂ,—,✅ 引擎,573
域值,人物,人物Ｃ,調查:(人物::人物Ｃ)!=(人物::旅人),Ctx::hero_C,对象:人物,人物Ｃ,—,✅ 引擎,690
域值,人物,人物Ｄ,調查:(人物::人物Ｄ)==(人物::主人公),Ctx::hero_D,对象:人物,人物Ｄ,—,✅ 引擎,511
域值,人物,人物Ｅ,調查:(流派::流派Ａ.宗家)==(人物::人物Ｅ),Ctx::hero_E,对象:人物,人物Ｅ,—,✅ 引擎,117
域值,人物,無效,更新:(人物::上杉景勝.妻)(人物::無效),null,空,無效,—,✅ 引擎,280
域值,人物,發生人物,調查:(人物::發生人物)==(人物::足利義輝),Ctx::event_hero,对象:人物,發生人物,—,✅ 引擎,392
域值,人物類別,事件人物,調查:(人物::人物Ｂ.類別)==(人物類別::事件人物),event_person,枚举:人物類別,事件人物,—,🔴 需新加（枚举）,10
域值,人物類別,武將,調查:(人物::人物Ｂ.類別)==(人物類別::武將),general,枚举:人物類別,武將,—,🔴 需新加（枚举）,911
域值,人物類別,泛用對手,調查:(人物::人物Ａ.類別)!=(人物類別::泛用對手),generic_rival,枚举:人物類別,泛用對手,—,🔴 需新加（枚举）,19
域值,人物類別,町人,調查:(人物::人物Ｂ.類別)==(人物類別::町人),townsman,枚举:人物類別,町人,—,🔴 需新加（枚举）,10
域值,儲存號,人形の城会合カウンタ,調查:(儲存號::人形の城会合カウンタ)==(4),Variable::tk5_u6729a2,数字,人形の城会合カウンタ,—,✅ 引擎,21
域值,儲存號,人形の城大名家,調查:(儲存號::人形の城大名家)==(大名家::大名家Ａ),Variable::tk5_u97444f,对象:家族,人形の城大名家,—,✅ 引擎,2
域值,儲存號,人形の城嫁入り町,更新:(儲存號::人形の城嫁入り町)(町Ａ),Variable::tk5_uea76b4,对象:据点,人形の城嫁入り町,—,✅ 引擎,2
域值,儲存號,大阪之陣別動隊,更新:(儲存號::大阪之陣別動隊)(人物Ｅ),Variable::tk5_u3c7cf5,对象:人物,大阪之陣別動隊,—,✅ 引擎,7
域值,儲存號,妻愛情值,調查:(儲存號::妻愛情值)<=(45),Variable::tk5_u2ef40e,数字,妻愛情值,—,✅ 引擎,83
域值,儲存號,從屬經驗大名,更新:(儲存號::從屬經驗大名)(人物Ｂ),Variable::tk5_ud0f732,对象:人物,從屬經驗大名,—,✅ 引擎,6
域值,儲存號,本能寺呼寄武将,代入人物Ｂ:(儲存號::本能寺呼寄武将),Variable::tk5_udc70b1,对象:人物,本能寺呼寄武将,—,✅ 引擎,7
域值,儲存號,水攻的城,調查:(儲存號::水攻的城)==(據點::據點Ｃ),Variable::tk5_ubac0ff,对象:据点,水攻的城,—,✅ 引擎,4
域值,儲存號,芝濱妻,調查:(人物::主人公.妻)==(儲存號::芝濱妻),Variable::tk5_u203440,对象:人物,芝濱妻,—,✅ 引擎,2
域值,儲存號,謀反事件用人物,更新:(儲存號::謀反事件用人物)(人物Ａ),Variable::tk5_u58338b,对象:人物,謀反事件用人物,—,✅ 引擎,2
域值,儲存號,集団見合いデート回数,更新:(儲存號::集団見合いデート回数)(1048577),Variable::tk5_u06f9e6,数字,集団見合いデート回数,—,✅ 引擎,23
域值,儲存號,集団見合い約束相手,更新:(儲存號::集団見合い約束相手)(人物Ｃ),Variable::tk5_u22d849,对象:人物,集団見合い約束相手,—,✅ 引擎,12
域值,勢力,勢力Ａ,調查:(勢力::勢力Ａ)!=(人物::人物Ｂ.所屬勢力),Ctx::faction_A,对象:王国,勢力Ａ,—,✅ 引擎,10
域值,勢力,勢力Ｂ,調查:(人物::主人公.主命目標)==(勢力::勢力Ｂ),Ctx::faction_B,对象:王国,勢力Ｂ,—,✅ 引擎,10
域值,勢力,商家Ｂ,更新:(海賊衆::海賊衆Ａ.外交感情(勢力::商家Ｂ))(盟友),Ctx::merchant_B,对象:组织,商家Ｂ,—,✅ 引擎,3
域值,勢力,大名家Ａ,調查:(商家::商家Ａ.外交同盟(勢力::大名家Ａ))!=(2),Ctx::clan_A,对象:家族,大名家Ａ,—,✅ 引擎,1268
域值,勢力,大名家Ｂ,更新:(大名家::大名家Ａ.外交同盟(勢力::大名家Ｂ))(支配),Ctx::clan_B,对象:家族,大名家Ｂ,—,✅ 引擎,1201
域值,勢力,大名家Ｃ,更新:(大名家::大名家Ａ.外交同盟(勢力::大名家Ｃ))(無同盟),Ctx::clan_C,对象:家族,大名家Ｃ,—,✅ 引擎,1007
域值,勢力,大名家Ｄ,更新:(大名家::大名家Ａ.外交同盟(勢力::大名家Ｄ))(無同盟),Ctx::clan_D,对象:家族,大名家Ｄ,—,✅ 引擎,352
域值,勢力,大名家Ｅ,調查:(大名家::大名家Ａ.外交同盟(勢力::大名家Ｅ))==(0),Ctx::clan_E,对象:家族,大名家Ｅ,—,✅ 引擎,93
域值,勢力,忍者衆Ａ,調查:(大名家::大名家Ａ.外交同盟(勢力::忍者衆Ａ))==(0),Ctx::ninja_A,对象:组织,忍者衆Ａ,—,✅ 引擎,32
域值,勢力,忍者衆Ｂ,調查:(忍者衆::忍者衆Ａ.外交同盟(勢力::忍者衆Ｂ))==(0),Ctx::ninja_B,对象:组织,忍者衆Ｂ,—,✅ 引擎,1
域值,勢力,忍者衆Ｃ,調查:(大名家::大名家Ｂ.外交同盟(勢力::忍者衆Ｃ))==(0),Ctx::ninja_C,对象:组织,忍者衆Ｃ,—,✅ 引擎,1
域值,勢力,海賊衆Ａ,調查:(大名家::大名家Ａ.外交同盟(勢力::海賊衆Ａ))==(0),Ctx::pirate_A,对象:组织,海賊衆Ａ,—,✅ 引擎,34
域值,勢力,海賊衆Ｂ,更新:(勢力::大名家Ａ.外交同盟(勢力::海賊衆Ｂ))(支配),Ctx::pirate_B,对象:组织,海賊衆Ｂ,—,✅ 引擎,35
域值,勢力,海賊衆Ｃ,調查:(海賊衆::海賊衆Ａ.外交同盟(勢力::海賊衆Ｃ))==(0),Ctx::pirate_C,对象:组织,海賊衆Ｃ,—,✅ 引擎,13
域值,勢力,海賊衆Ｄ,調查:(海賊衆::海賊衆Ａ.外交同盟(勢力::海賊衆Ｄ))==(0),Ctx::pirate_D,对象:组织,海賊衆Ｄ,—,✅ 引擎,3
域值,勢力,無效,更新:(人物::人物Ｂ.所屬勢力)(勢力::無效),null,空,無效,—,✅ 引擎,5
域值,卡,卡Ａ,代入卡Ａ:(卡::松島)+(變量::ｉ),Ctx::card_A,对象:卡,卡Ａ,—,✅ 引擎,3
域值,商家,商家Ａ,代入商家Ａ:(人物::主人公.所屬商家),Ctx::merchant_A,对象:组织,商家Ａ,—,🔴 需新加（数据包（07 核对））,39
域值,商家,商家Ｂ,代入商家Ｂ:(人物::主人公.所屬商家),Ctx::merchant_B,对象:组织,商家Ｂ,—,🔴 需新加（数据包（07 核对））,3
域值,商家,商家Ｃ,"容器選擇:(商家Ｃ,先頭)",Ctx::merchant_C,对象:组织,商家Ｃ,—,🔴 需新加（数据包（07 核对））,3
域值,商家,商家Ｄ,"容器選擇:(商家Ｄ,先頭)",Ctx::merchant_D,对象:组织,商家Ｄ,—,🔴 需新加（数据包（07 核对））,2
域值,國,國Ａ,調查:(據點::發生據點.所屬國)==(國::國Ａ),Ctx::region_A,对象:区域,國Ａ,—,✅ 引擎,12
域值,國,國Ｃ,調查:(國::國Ｃ)==(國::駿河),Ctx::region_C,对象:区域,國Ｃ,—,✅ 引擎,21
域值,地方,地方Ａ,調查:(地方::地方Ａ)==(地方::地方Ｂ),Ctx::area_A,对象:区域,地方Ａ,—,✅ 引擎,37
域值,地方,地方Ｂ,調查:(地方::地方Ａ)==(地方::地方Ｂ),Ctx::area_B,对象:区域,地方Ｂ,—,✅ 引擎,33
域值,城,城Ａ,調查:(城::城Ａ)!=(城::三木),Ctx::settlement_A,对象:据点,城Ａ,—,✅ 引擎,2669
域值,城,城Ｂ,調查:(城::城Ｂ)==(城::小田原),Ctx::settlement_B,对象:据点,城Ｂ,—,✅ 引擎,1269
域值,城,城Ｃ,調查:(城::城Ａ.移動可能(城::城Ｃ))==(真偽::真),Ctx::settlement_C,对象:据点,城Ｃ,—,✅ 引擎,1095
域值,城,城Ｄ,調查:(城::城Ａ)!=(城::城Ｄ),Ctx::settlement_D,对象:据点,城Ｄ,—,✅ 引擎,645
域值,城,城Ｅ,調查:(大名家::大名家Ｂ.本城)!=(城::城Ｅ),Ctx::settlement_E,对象:据点,城Ｅ,—,✅ 引擎,189
域值,城,無效,代入城Ａ:(城::無效),null,空,無效,—,✅ 引擎,59
域值,場面,主人公茶室,調查:(場面::發生設施)==(場面::主人公茶室),Facility::tea_room,对象:设施,主人公茶室,—,✅ 引擎,2
域值,場面,主人公診療所,調查:(場面::發生設施)==(場面::主人公診療所),Facility::clinic,对象:设施,主人公診療所,—,✅ 引擎,2
域值,場面,主人公道場,調查:(場面::發生設施)==(場面::主人公道場),Facility::dojo,对象:设施,主人公道場,—,✅ 引擎,2
域值,場面,主人公鍛冶屋,調查:(場面::發生設施)==(場面::主人公鍛冶屋),Facility::smithy,对象:设施,主人公鍛冶屋,—,✅ 引擎,2
域值,場面,城主間,調查:(場面::發生設施)==(場面::城主間),Facility::castle_hall,对象:设施,城主間,—,✅ 引擎,1
域值,場面,忍屋敷,調查:(場面::發生設施)==(場面::忍屋敷),Facility::ninja_manor,对象:设施,忍屋敷,—,✅ 引擎,1
域值,場面,忍者宅,調查:(場面::發生設施)==(場面::忍者宅),Facility::ninja_house,对象:设施,忍者宅,—,✅ 引擎,2
域值,場面,據點內畫面,調查:(狀況::場面)==(場面::據點內畫面),Facility::settlement_screen,对象:设施,據點內畫面,—,✅ 引擎,1
域值,場面,武家宅,調查:(場面::發生設施)==(場面::武家宅),Facility::samurai_house,对象:设施,武家宅,—,✅ 引擎,1
域值,場面,民家,調查:(場面::發生設施)==(場面::民家),Facility::house_min,对象:设施,民家,—,✅ 引擎,1
域值,場面,海賊宅,調查:(場面::發生設施)==(場面::海賊宅),Facility::pirate_den,对象:设施,海賊宅,—,✅ 引擎,3
域值,場面,海賊屋敷,調查:(場面::發生設施)==(場面::海賊屋敷),Facility::pirate_manor,对象:设施,海賊屋敷,—,✅ 引擎,1
域值,場面,發生設施,調查:(場面::發生設施)==(場面::海賊宅),Facility::event_facility,对象:设施,發生設施,—,✅ 引擎,16
域值,場面,自宅,調查:(狀況::場面)==(場面::自宅),Facility::house,对象:设施,自宅,—,✅ 引擎,8
域值,大名家,大名家Ａ,調查:(人物::主人公.兵法指南役大名家)==(大名家::大名家Ａ),Ctx::clan_A,对象:家族,大名家Ａ,—,✅ 引擎,4553
域值,大名家,大名家Ｂ,調查:(人物::主人公.所屬大名家)==(大名家::大名家Ｂ),Ctx::clan_B,对象:家族,大名家Ｂ,—,✅ 引擎,2520
域值,大名家,大名家Ｃ,調查:(人物::結城秀康.所屬大名家)==(大名家::大名家Ｃ),Ctx::clan_C,对象:家族,大名家Ｃ,—,✅ 引擎,1157
